1,Saquon Barkley,Joe Mixon,Dalvin Cook,George Kittle,Adam Thielen,Kenny Golladay,Carson Wentz,Josh Gordon,Miles Sanders,Allen Robinson,Sammy Watkins,Geronimo Allison,Ronald Jones,Kyler Murray,Greg Zuerlein,Falcons D/ST
2,Alvin Kamara,Tyreek Hill,Kerryon Johnson,Chris Carson,Josh Jacobs,Chris Godwin,Robert Woods,O.J. Howard,Robby Anderson,Dede Westbrook,Latavius Murray,Curtis Samuel,Kalen Ballage,Baker Mayfield,Harrison Butker,Patriots D/ST
3,Christian McCaffrey,JuJu Smith-Schuster,Travis Kelce,Patrick Mahomes,Amari Cooper,David Montgomery,Phillip Lindsay,Cooper Kupp,LeSean McCoy,Will Fuller V,Justin Jackson,Rashaad Penny,Kareem Hunt,Russell Wilson,Ka'imi Fairbairn,Jets D/ST
4,Le'Veon Bell,Julio Jones,Antonio Brown,Zach Ertz,Aaron Jones,Duke Johnson Jr.,Austin Ekeler,Tyler Lockett,Devin Singletary,DJ Moore,Cam Newton,Tony Pollard,Sterling Shepard,DeSean Jackson,Justin Tucker,Chargers D/ST
5,Ezekiel Elliott,James Conner,Keenan Allen,Leonard Fournette,Deshaun Watson,James White,T.Y. Hilton,Tyler Boyd,Alshon Jeffery,Tarik Cohen,Christian Kirk,Golden Tate,Ito Smith,Mark Andrews,Aldrick Rosas,Rams D/ST
6,DeAndre Hopkins,Odell Beckham Jr.,Nick Chubb,Mike Evans,Stefon Diggs,Damien Williams,Derrius Guice,Evan Engram,Darrell Henderson,A.J. Green,Emmanuel Sanders,Ben Roethlisberger,Corey Davis,Lamar Jackson,Jake Elliott,Giants D/ST
7,Michael Thomas,Davante Adams,Melvin Gordon,Julian Edelman,Mark Ingram II,Tevin Coleman,Kenyan Drake,Calvin Ridley,Aaron Rodgers,Nyheim Hines,Jarvis Landry,Royce Freeman,David Njoku,Dion Lewis,Wil Lutz,Saints D/ST
8,David Johnson,Todd Gurley II,Derrick Henry,Devonta Freeman,Brandin Cooks,Sony Michel,Marlon Mack,Matt Ryan,Jared Cook,Mike Williams,Hunter Henry,Bears D/ST,Marvin Jones Jr.,Jamison Crowder,Stephen Gostkowski,Dak Prescott
