1,QB|Patrick Mahomes,WR|Michael Thomas,QB|Drew Brees,RB|Chris Carson,RB|Austin Ekeler,QB|Baker Mayfield,WR|Tyreek Hill,WR|DJ Moore,WR|Amari Cooper,QB|Nick Foles,TE|Tyler Higbee,WR|Marvin Jones Jr.,RB|Raheem Mostert,WR|Diontae Johnson,RB|Jordan Howard,TE|Austin Hooper
2,RB|Christian McCaffrey,QB|Matt Ryan,QB|Matthew Stafford,RB|Joe Mixon,RB|David Johnson,QB|Philip Rivers,WR|Mike Evans,WR|Courtland Sutton,WR|JuJu Smith-Schuster,QB|Justin Herbert,TE|Jared Cook,WR|Michael Gallup,RB|Kareem Hunt,WR|Brandin Cooks,RB|Tarik Cohen,TE|Chris Herndon
3,QB|Lamar Jackson,RB|Derrick Henry,RB|Nick Chubb,QB|Ben Roethlisberger,RB|Todd Gurley II,QB|Drew Lock,WR|Julio Jones,QB|Sam Darnold,RB|Devin Singletary,TE|Evan Engram,WR|Tyler Lockett,WR|DJ Chark Jr.,RB|Cam Akers,WR|Jamison Crowder,RB|Kerryon Johnson,TE|Mike Gesicki
4,QB|Deshaun Watson,TE|Travis Kelce,QB|Carson Wentz,RB|Kenyan Drake,TE|George Kittle,QB|Kirk Cousins,WR|DeAndre Hopkins,QB|Gardner Minshew II,RB|David Montgomery,WR|Robert Woods,WR|Odell Beckham Jr.,WR|DK Metcalf,RB|Mark Ingram II,WR|Julian Edelman,WR|Christian Kirk,RB|J.K. Dobbins
5,QB|Dak Prescott,RB|Alvin Kamara,QB|Aaron Rodgers,RB|Aaron Jones,RB|Leonard Fournette,QB|Joe Burrow,WR|Chris Godwin,WR|Kenny Golladay,WR|A.J. Brown,QB|Tua Tagovailoa,RB|D'Andre Swift,WR|DeVante Parker,WR|A.J. Green,WR|Sterling Shepard,TE|Noah Fant,TE|Rob Gronkowski
6,QB|Kyler Murray,RB|Dalvin Cook,QB|Josh Allen,RB|Clyde Edwards-Helaire,RB|Le'Veon Bell,QB|Jimmy Garoppolo,WR|Davante Adams,WR|Adam Thielen,WR|Allen Robinson II,QB|Teddy Bridgewater,WR|T.Y. Hilton,WR|Keenan Allen,RB|Phillip Lindsay,TE|Hunter Henry,TE|Hayden Hurst,RB|Marlon Mack
7,QB|Tom Brady,RB|Saquon Barkley,QB|Daniel Jones,RB|Josh Jacobs,RB|Melvin Gordon,QB|Ryan Tannehill,RB|James Conner,TE|Zach Ertz,QB|Dwayne Haskins Jr.,WR|Calvin Ridley,WR|Cooper Kupp,D|Bills D/ST,K|Harrison Butker,WR|Tyler Boyd,TE|T.J. Hockenson,WR|Preston Williams
8,QB|Russell Wilson,RB|Ezekiel Elliott,QB|Jared Goff,RB|Miles Sanders,RB|Jonathan Taylor,QB|Cam Newton,RB|Ronald Jones II,TE|Mark Andrews,QB|Derek Carr,TE|Darren Waller,WR|Terry McLaurin,WR|Jarvis Landry,WR|Marquise Brown,WR|Stefon Diggs,RB|James White,RB|Darrell Henderson Jr.
